Restaurant_Name,City,Cuisine,Rating,Votes,Cost_For_Two,Review,Date,Month,Year,Sentiment_Label,VADER_Compound_Score,Reviewer_Name,Dining_Type,Has_Online_Delivery,Has_Table_Booking,Review_Length,Word_Count
KFC,Delhi,Continental,4.7,4847,300,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-07-13,July,2023,Positive,0.7737,User_7912,Dine-in,Yes,Yes,75,11
Social,Hyderabad,Thai,1.4,1815,1000,Average food at best but way too expensive for what you get. Not worth visiting.,2023-07-13,July,2023,Negative,-0.5451,User_8359,Takeaway,No,Yes,80,15
Burger King,Pune,Fast Food,4.9,802,1000,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-04-05,April,2022,Positive,0.5356,User_6881,Delivery,No,Yes,88,13
Oh! Calcutta,Mumbai,Mughlai,4.8,1585,2000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-01-06,January,2023,Positive,0.733,User_2139,Dine-in,Yes,No,87,13
Dominos Pizza,Hyderabad,South Indian,4.6,1726,800,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-01-15,January,2023,Positive,0.5554,User_5374,Takeaway,Yes,Yes,84,15
Flurys,Hyderabad,Chinese,5.0,2666,500,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-07-25,July,2023,Positive,0.748,User_1916,Dine-in,Yes,No,87,13
Bukhara,Chennai,South Indian,4.9,3251,1200,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-11-03,November,2023,Positive,0.5203,User_8517,Dine-in,No,Yes,85,14
Smoke House Deli,Chennai,Mexican,4.3,4052,1500,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-05-22,May,2022,Positive,0.4535,User_2489,Dine-in,Yes,Yes,85,14
Burger King,Pune,Mexican,4.5,104,1500,The portions are generous and the taste is authentic. Great value for money indeed.,2022-09-15,September,2022,Positive,0.6276,User_2876,Takeaway,No,No,83,14
KFC,Chennai,Mughlai,4.9,1473,1500,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-09-27,September,2022,Positive,0.9131,User_9317,Dine-in,No,Yes,82,13
Subway,Kolkata,Chinese,4.9,4012,800,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-09-06,September,2023,Positive,0.9429,User_1319,Dine-in,No,No,84,11
Smoke House Deli,Delhi,Italian,3.0,1040,1500,Good location but the food is just okay. Service was average and took some time.,2022-03-12,March,2022,Neutral,-0.0084,User_3103,Takeaway,No,Yes,80,15
Mamagoto,Pune,Italian,3.5,3598,800,Moderate experience overall. Some dishes were good while others were just average.,2023-11-19,November,2023,Neutral,-0.0606,User_9479,Delivery,Yes,Yes,82,12
Farzi Cafe,Mumbai,Fast Food,4.1,1885,200,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-03-14,March,2022,Positive,0.4542,User_2104,Dine-in,No,Yes,73,10
Aaheli,Hyderabad,Continental,2.0,3882,2000,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-08-08,August,2023,Negative,-0.4937,User_4981,Delivery,No,Yes,78,14
McDonald's,Mumbai,Mughlai,4.4,506,300,The portions are generous and the taste is authentic. Great value for money indeed.,2023-11-21,November,2023,Positive,0.8104,User_7596,Takeaway,No,Yes,83,14
Smoke House Deli,Hyderabad,Italian,4.3,3640,300,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-09-13,September,2022,Positive,0.495,User_2604,Dine-in,Yes,Yes,75,11
Smoke House Deli,Bangalore,Mughlai,4.8,27,1000,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-06-18,June,2022,Positive,0.9317,User_7396,Delivery,No,No,88,13
Peter Cat,Ahmedabad,Chinese,5.0,2579,200,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-07-10,July,2023,Positive,0.7054,User_1936,Dine-in,No,Yes,88,13
Barbeque Nation,Mumbai,Chinese,4.6,2026,2000,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-05-03,May,2022,Positive,0.4646,User_1651,Takeaway,Yes,No,85,13
Zara,Kolkata,Continental,4.2,3755,600,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-05-15,May,2022,Positive,0.4859,User_6180,Dine-in,Yes,No,77,13
Oudh 1590,Mumbai,South Indian,4.1,3037,500,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-03-12,March,2022,Positive,0.9533,User_5669,Dine-in,No,No,73,10
Oudh 1590,Delhi,Thai,3.9,886,300,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-09-28,September,2022,Positive,0.9147,User_3546,Delivery,No,Yes,80,11
Udupi Palace,Hyderabad,Continental,4.9,2276,1000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-04-05,April,2022,Positive,0.8923,User_1722,Dine-in,No,Yes,87,13
Mamagoto,Bangalore,Bengali,2.1,4479,400,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-12-09,December,2023,Negative,-0.9217,User_1590,Delivery,Yes,No,85,13
